"";"title";"artist";"artist_bio";"artist_birth_year";"artist_death_year";"num_artists";"n_female_artists";"n_male_artists";"artist_gender";"year_acquired";"year_created";"circumference_cm";"depth_cm";"diameter_cm";"height_cm";"length_cm";"width_cm";"seat_height_cm";"purchase";"gift";"exchange";"classification";"department"
"634";"Birth of a Personage";"Emilio Rodríguez Larraín";"(Peruvian, 1928-2015)";1928;2015;1;0;1;"Male";1966;1965;NA;NA;NA;200;NA;142;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"635";"Untitled";"Philip Guston";"(American, born Canada. 1913-1980)";1913;1980;1;0;1;"Male";1992;1969;NA;NA;NA;75,8;NA;81,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"636";"Untitled";"Robert Ryman";"(American, born 1930)";1930;NA;1;0;1;"Male";1996;1965;NA;NA;NA;28,6;NA;28,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"637";"Convert";"Robert Ryman";"(American, born 1930)";1930;NA;1;0;1;"Male";1996;1988;NA;NA;NA;182,9;NA;182,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"638";"The Subway";"José Clemente Orozco";"(Mexican, 1883-1949)";1883;1949;1;0;1;"Male";1935;1928;NA;NA;NA;41;NA;56,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"639";"First Light";"Joseph Stella";"(American, 1877-1946)";1877;1946;1;0;1;"Male";1966;1928;NA;NA;NA;41,3;NA;41,3;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"640";"No!";"Gino De Dominicis";"(Italian, 1947-1998)";1947;1998;1;0;1;"Male";1982;1981;NA;NA;NA;276,9;NA;195,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"641";"Untitled";"Joseph Glasco";"(American, 1925-1996)";1925;1996;1;0;1;"Male";1982;1982;NA;NA;NA;152,6;NA;297,7;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"642";"Untitled";"Ronald Bladen";"(American, 1918-1988)";1918;1988;1;0;1;"Male";1992;1960;NA;NA;NA;244,5;NA;183,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"643";"Blue/Black Five-Panel Zone Painting";"Robert Mangold";"(American, born 1937)";1937;NA;1;0;1;"Male";1999;1998;NA;NA;NA;228,3;NA;167,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"644";"Factum II";"Robert Rauschenberg";"(American, 1925-2008)";1925;2008;1;0;1;"Male";1999;1957;NA;NA;NA;155,9;NA;90,2;NA;TRUE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"645";"South Orange";"Ralph Humphrey";"(American, 1932-1990)";1932;1990;1;0;1;"Male";1982;1981;NA;17,8;NA;145;NA;187;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"646";"Self-Portrait";"Jacques Villon";"(French, 1875-1963)";1875;1963;1;0;1;"Male";1992;1950;NA;NA;NA;39,4;NA;26;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"647";"Collective Suicide";"David Alfaro Siqueiros";"(Mexican, 1896-1974)";1896;1974;1;0;1;"Male";1937;1936;NA;NA;NA;124,5;NA;182,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"648";"Unmade Bed";"Joe Goode";"(American, born 1937)";1937;NA;1;0;1;"Male";1993;1968;NA;NA;NA;153,5;NA;153;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"649";"Winter";"Eugene Berman";"(American, born Russia. 1899-1972)";1899;1972;1;0;1;"Male";1937;1929;NA;NA;NA;91,8;NA;73;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"650";"Portrait of a Man in a Late Nineteenth-Century Frame";"Joan Miró";"(Spanish, 1893-1983)";1893;1983;1;0;1;"Male";1972;1950;NA;NA;NA;96,2;NA;80;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"651";"Parachiffre XLIV";"Jean Dubuffet";"(French, 1901-1985)";1901;1985;1;0;1;"Male";1977;1975;NA;NA;NA;68,6;NA;98,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"652";"Progression 49";"Nedo Mion Ferrario";"(Venezuelan, born Italy. 1926-2001)";1926;2001;1;0;1;"Male";1972;1970;NA;5,7;NA;118,4;NA;68,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"653";"I am an American... Uneasy Dreams";"Katherine Porter";"(American, born 1941)";1941;NA;1;1;0;"Female";1982;1981;NA;NA;NA;231,3;NA;231,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"654";"The Red Sea";"Anselm Kiefer";"(German, born 1945)";1945;NA;1;0;1;"Male";1985;1984;NA;NA;NA;278,8;NA;425,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"655";"End of the Street";"Onofrio A. Pacenza";"(Argentine, 1904-1971)";1904;1971;1;0;1;"Male";1942;1936;NA;NA;NA;84,8;NA;105,1;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"656";"Schwenk";"Fairfield Porter";"(American, 1907-1975)";1907;1975;1;0;1;"Male";1972;1959;NA;NA;NA;57,3;NA;78,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"657";"Gaea";"Lee Krasner";"(American, 1908-1984)";1908;1984;1;1;0;"Female";1977;1966;NA;NA;NA;175,3;NA;318,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"658";"Welkom";"Frank Stella";"(American, born 1936)";1936;NA;1;0;1;"Male";1982;1982;NA;160,1;NA;242;NA;237,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"659";"The Studio";"Pablo Picasso";"(Spanish, 1881-1973)";1881;1973;1;0;1;"Male";1935;1927;NA;NA;NA;149,9;NA;231,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"660";"Color Perspective";"Jacques Villon";"(French, 1875-1963)";1875;1963;1;0;1;"Male";1953;1922;NA;NA;NA;73;NA;60;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"661";"Robbe-Grillet Cleansing Every Object in Sight";"Mark Tansey";"(American, born 1949)";1949;NA;1;0;1;"Male";1982;1981;NA;NA;NA;182,9;NA;183,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"662";"Russet";"Morris Louis";"(American, 1912-1962)";1912;1962;1;0;1;"Male";1977;1958;NA;NA;NA;235,6;NA;441,1;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"663";"Self-Portrait";"Chuck Close";"(American, born 1940)";1940;NA;1;0;1;"Male";2000;1997;NA;NA;NA;259,1;NA;213,4;NA;TRUE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"664";"Great American Nude, 47";"Tom Wesselmann";"(American, 1931-2004)";1931;2004;1;0;1;"Male";1982;1963;NA;NA;NA;121,9202;NA;165,4178;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"665";"Mint";"Robert Rauschenberg";"(American, 1925-2008)";1925;2008;1;0;1;"Male";1977;1974;NA;NA;NA;198,1;NA;116,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"666";"Apache (Man on Horseback)";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;25,0826;NA;32,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"667";"Landscape, Milpa Alta";"Jean Charlot";"(American, born France. 1898-1979)";1898;1979;1;0;1;"Male";1937;1924;NA;NA;NA;27,9;NA;35,6;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"668";"Apache (Man on Horseback II)";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;23,1775;NA;32,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"669";"Apparition";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1905;NA;NA;NA;66,9926;NA;40;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"670";"Trees in Bièvres";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1900;NA;NA;NA;61,3;NA;50,4826;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"671";"Extinction of Useless Lights";"Yves Tanguy";"(American, born France. 1900-1955)";1900;1955;1;0;1;"Male";1935;1927;NA;NA;NA;92,1;NA;65,4;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"672";"Trees in the Blue Sky";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1883;NA;NA;NA;30,2;NA;24,4475;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"673";"Fishing Boat";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;16,8275;NA;21,9075;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"674";"The Conquest of the Air";"Roger de La Fresnaye";"(French, 1885-1925)";1885;1925;1;0;1;"Male";1947;1913;NA;NA;NA;235,9;NA;195,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"675";"The Chariot of Apollo";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1912;NA;NA;NA;99,6952;NA;74,9301;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"676";"Space Modulator L3";"László Moholy-Nagy";"(American, born Hungary. 1895-1946)";1895;1946;1;0;1;"Male";1947;1936;NA;NA;NA;43,8;NA;48,6;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"677";"On the Art of Writing. On the Writing of Art";"Marcel Broodthaers";"(Belgian, 1924-1976)";1924;1976;1;0;1;"Male";1991;1968;NA;NA;NA;59,7;NA;107,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"678";"Jacob and the Angel";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1907;NA;NA;NA;47;NA;41,5926;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"679";"The Gates of the City, Nightfall";"Eugene Berman";"(American, born Russia. 1899-1972)";1899;1972;1;0;1;"Male";1947;1937;NA;NA;NA;76,8;NA;102,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"680";"Memory of Oceania";"Henri Matisse";"(French, 1869-1954)";1869;1954;1;0;1;"Male";1968;1952;NA;NA;NA;284,4;NA;286,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"681";"Composition: Flowers without a Vase";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1905;NA;NA;NA;20,6375;NA;20,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"682";"Composition VIII (The Cow)";"Theo van Doesburg (Christian Emil Marie Küpper)";"(Dutch, 1883-1931)";1883;1931;1;0;1;"Male";1948;1918;NA;NA;NA;37,5;NA;63,5;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"683";"Untitled";"Robert Beauchamp";"(American, 1923-1995)";1923;1995;1;0;1;"Male";1962;1962;NA;NA;NA;170,2;NA;208,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"684";"Smoker, 1 (Mouth, 12)";"Tom Wesselmann";"(American, 1931-2004)";1931;2004;1;0;1;"Male";1968;1967;NA;NA;NA;276,6;NA;216;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"685";"Wildflowers in a Long Neck Vase";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1912;NA;NA;NA;65,4051;NA;50,4826;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"686";"Rayonist Composition";"Mikhail Larionov";"(Russian, 1881-1964)";1881;1964;1;0;1;"Male";1991;1912;NA;NA;NA;50,2;NA;43,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"687";"Seated Man";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1910;NA;NA;NA;21,9075;NA;23,495;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"688";"Woman";"Ivan Le Lorraine Albright";"(American, 1897-1983)";1897;1983;1;0;1;"Male";1948;1928;NA;NA;NA;83,8;NA;55,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"689";"Spring Blossoms";"René Brô";"(French, 1930-1987)";1930;1987;1;0;1;"Male";1962;1962;NA;NA;NA;64,7;NA;81;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"690";"The Blind Swimmer (Nageur aveugle)";"Max Ernst";"(French and American, born Germany. 1891-1976)";1891;1976;1;0;1;"Male";1968;1934;NA;NA;NA;92,3;NA;73,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"691";"The Birth of Venus";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1912;NA;NA;NA;143,1928;NA;62,5476;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"692";"Painting";"Joan Miró";"(Spanish, 1893-1983)";1893;1983;1;0;1;"Male";1937;1933;NA;NA;NA;174;NA;196,2;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"693";"Dwarf";"William Baziotes";"(American, 1912-1963)";1912;1963;1;0;1;"Male";1947;1947;NA;NA;NA;106,7;NA;91,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"694";"Painting";"Francis Bacon";"(British, born Ireland. 1909-1992)";1909;1992;1;0;1;"Male";1948;1946;NA;NA;NA;197,8;NA;132,1;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"695";"Hummingbird";"Sally Hazelet Drummond";"(American, born 1924)";1924;NA;1;1;0;"Female";1962;1961;NA;NA;NA;30,4;NA;30,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"696";"The Fishes";"Marcel Broodthaers";"(Belgian, 1924-1976)";1924;1976;1;0;1;"Male";1978;1975;NA;NA;NA;79,4;NA;99,7;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"697";"Landscape at Daybreak";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1872;NA;NA;NA;38,4;NA;55,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"698";"Painting";"Patrick Henry Bruce";"(American, 1881-1936)";1881;1936;1;0;1;"Male";1978;1929;NA;NA;NA;60,3;NA;92,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"699";"Watchtower";"Sigmar Polke";"(German, 1941-2010)";1941;2010;1;0;1;"Male";1991;1984;NA;NA;NA;300;NA;224,8;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"700";"Landscape";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1900;NA;NA;NA;38,7351;NA;55,5626;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"701";"One Painting in Four Elements for One Wall";"Daniel Buren";"(French, born 1938)";1938;NA;1;0;1;"Male";1978;1969;NA;NA;NA;51,4;NA;101;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"702";"Mouth";"Arnulf Rainer";"(Austrian, born 1929)";1929;NA;1;0;1;"Male";1991;1973;NA;NA;NA;166,4;NA;120,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"703";"Rocky Peak";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;24,765;NA;33,0201;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"704";"Untitled (Portrait of Henry de Montherlant)";"Gerhard Richter";"(German, born 1932)";1932;NA;1;0;1;"Male";1991;1971;NA;NA;NA;70,2;NA;55,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"705";"Profile";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1895;NA;NA;NA;50,5;NA;38,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"706";"Passing";"Alex Katz";"(American, born 1927)";1927;NA;1;0;1;"Male";1978;1962;NA;NA;NA;182,2;NA;202,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"707";"Jumbo";"Edward Ruscha";"(American, born 1937)";1937;NA;1;0;1;"Male";1991;1986;NA;NA;NA;208,6;NA;249,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"708";"The Rocky Slope";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;25,0826;NA;32,7026;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"709";"Painting, II";"Pierre Clerk";"(Canadian, born U.S.A. 1928)";1928;NA;1;0;1;"Male";1956;1955;NA;NA;NA;79,8;NA;94,9;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"710";"The Chain";"Bedri Rahmi";"(Turkish, 1913-1975)";1913;1975;1;0;1;"Male";1962;1962;NA;NA;NA;35,8;NA;121;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"711";"Summation";"Arshile Gorky";"(American, born Armenia. 1904-1948)";1904;1948;1;0;1;"Male";1969;1947;NA;NA;NA;202,1;NA;258,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"712";"Orange Car Crash Fourteen Times";"Andy Warhol";"(American, 1928-1987)";1928;1987;1;0;1;"Male";1991;1963;NA;NA;NA;268,9;NA;208,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"713";"Landscape with Rocks, near Royan";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1875;NA;NA;NA;21,2;NA;26,8;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"714";"Funeral of the Anarchist Galli";"Carlo Carrà";"(Italian, 1881-1966)";1881;1966;1;0;1;"Male";1948;1910;NA;NA;NA;198,7;NA;259,1;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"715";"The Last Civil War Veteran";"Larry Rivers";"(American, 1923-2002)";1923;2002;1;0;1;"Male";1962;1959;NA;NA;NA;209,6;NA;162,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"716";"Untitled";"Christopher Wool";"(American, born 1955)";1955;NA;1;0;1;"Male";1991;1990;NA;NA;NA;274,3;NA;182,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"717";"Rocks on the Beach";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1883;NA;NA;NA;26;NA;36,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"718";"Two Scotswomen";"Robert Colquhoun";"(British, 1914-1962)";1914;1962;1;0;1;"Male";1948;1946;NA;NA;NA;122,9;NA;91,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"719";"Fires";"Robert Kabak";"(American, born 1930)";1930;NA;1;0;1;"Male";1956;1956;NA;NA;NA;29,8;NA;91,3;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"720";"Painting Number 2";"Franz Kline";"(American, 1910-1962)";1910;1962;1;0;1;"Male";1969;1954;NA;NA;NA;204,3;NA;271,7805435611;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"721";"The Black Sun";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1900;NA;NA;NA;32,3851;NA;23,8125;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"722";"Composition: Horse and Figures";"Arshile Gorky";"(American, born Armenia. 1904-1948)";1904;1948;1;0;1;"Male";1950;1928;NA;NA;NA;87;NA;110,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"723";"Number 3 (Untitled)";"Lee Krasner";"(American, 1908-1984)";1908;1984;1;1;0;"Female";1969;1951;NA;NA;NA;209,5;NA;146,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"724";"The Three Fates";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1900;NA;NA;NA;32,4;NA;23,8;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"725";"Painting";"Willem de Kooning";"(American, born the Netherlands. 1904-1997)";1904;1997;1;0;1;"Male";1948;1948;NA;NA;NA;108,3;NA;142,5;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"726";"Underwater Vision";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1910;NA;NA;NA;93,3;NA;74,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"727";"1/2 W Series";"Robert Mangold";"(American, born 1937)";1937;NA;1;0;1;"Male";1969;1968;NA;NA;NA;122,6;NA;122,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"728";"The Window";"Odilon Redon";"(French, 1840-1916)";1840;1916;1;0;1;"Male";2000;1907;NA;NA;NA;81;NA;61,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"729";"Vir Heroicus Sublimis";"Barnett Newman";"(American, 1905-1970)";1905;1970;1;0;1;"Male";1971;1950;NA;NA;NA;242,2;NA;541,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"730";"Echo: Number 25, 1951";"Jackson Pollock";"(American, 1912-1956)";1912;1956;1;0;1;"Male";1969;1951;NA;NA;NA;233,4;NA;218,4;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"731";"Vitebsk-Harar";"Enzo Cucchi";"(Italian, born 1949)";1949;NA;1;0;1;"Male";1990;1984;NA;40,6;NA;289,6;NA;549,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"732";"Composition in Brown and Gray";"Piet Mondrian";"(Dutch, 1872-1944)";1872;1944;1;0;1;"Male";1950;1913;NA;NA;NA;85,7;NA;75,6;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"733";"The Japanese Footbridge";"Claude Monet";"(French, 1840-1926)";1840;1926;1;0;1;"Male";1956;1920;NA;NA;NA;89,5;NA;116,3;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"734";"Ring";"Ron Davis";"(American, born 1937)";1937;NA;1;0;1;"Male";1969;1968;NA;NA;NA;143,4;NA;345,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"735";"Truncated View of the Broekzijder Mill on the Gein, Wings Facing West";"Piet Mondrian";"(Dutch, 1872-1944)";1872;1944;1;0;1;"Male";1950;1902;NA;NA;NA;30,2;NA;38,1;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"736";"Number 11";"Stanley Twardowicz";"(American, 1917-2008)";1917;2008;1;0;1;"Male";1956;1955;NA;NA;NA;182,9;NA;127;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"737";"Double-Bar, Grey (Green Line)";"Jo Baer";"(American, born 1929)";1929;NA;1;1;0;"Female";1983;1968;NA;NA;NA;91,9;NA;99;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"738";"Hudson";"Ralph Humphrey";"(American, 1932-1990)";1932;1990;1;0;1;"Male";1969;1968;NA;NA;NA;202,6;NA;204,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"739";"The Living Room";"Balthus (Baltusz Klossowski de Rola)";"(French, 1908-2001)";1908;2001;1;0;1;"Male";1983;1942;NA;NA;NA;114,8;NA;146,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"740";"Abstract Painting";"Ad Reinhardt";"(American, 1913-1967)";1913;1967;1;0;1;"Male";1969;1957;NA;NA;NA;274,3;NA;101,5;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"741";"Qualm";"James Brooks";"(American, 1906-1992)";1906;1992;1;0;1;"Male";1956;1954;NA;NA;NA;154,9;NA;144,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"742";"The Menaced Assassin";"René Magritte";"(Belgian, 1898-1967)";1898;1967;1;0;1;"Male";1966;1927;NA;NA;NA;150,4;NA;195,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"743";"Two Edges";"Barnett Newman";"(American, 1905-1970)";1905;1970;1;0;1;"Male";1990;1948;NA;NA;NA;121,9;NA;91,4;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"744";"Suprematist Composition: Airplane Flying";"Kazimir Malevich";"(Russian, born Ukraine. 1878-1935)";1878;1935;1;0;1;"Male";1935;1915;NA;NA;NA;58,1;NA;48,3;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"745";"Night Windows";"Edward Hopper";"(American, 1882-1967)";1882;1967;1;0;1;"Male";1940;1928;NA;NA;NA;73,7;NA;86,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"746";"Number 3";"Kenzo Okada";"(American, 1902-1982)";1902;1982;1;0;1;"Male";1954;1953;NA;NA;NA;165,4;NA;147;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"747";"Flowers in a Vase";"Frederick Papsdorf";"(American, 1887-1978)";1887;1978;1;0;1;"Male";1940;1940;NA;NA;NA;46,3;NA;36,2;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"748";"The Yellow Book";"Afro (Afro Basaldella)";"(Italian, 1912-1976)";1912;1976;1;0;1;"Male";1957;1952;NA;NA;NA;127;NA;151,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"749";"Flute Player";"Reuven Rubin";"(Israeli, born Romania. 1893-1974)";1893;1974;1;0;1;"Male";1940;1938;NA;NA;NA;81,3;NA;65,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"750";"The Dream";"Henri Rousseau";"(French, 1844-1910)";1844;1910;1;0;1;"Male";1954;1910;NA;NA;NA;204,5;NA;298,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"751";"The Riot";"Umberto Boccioni";"(Italian, 1882-1916)";1882;1916;1;0;1;"Male";1957;1911;NA;NA;NA;50,5;NA;50,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"752";"Woman in a Red Hat";"Robert MacBryde";"(British, 1913-1966)";1913;1966;1;0;1;"Male";1948;1947;NA;NA;NA;127;NA;72,4;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"753";"Natalie Paley";"Pavel Tchelitchew";"(American, born Russia. 1898-1957)";1898;1957;1;0;1;"Male";1954;1931;NA;NA;NA;81,3;NA;54;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"754";"Incident 13 R";"Edmondo Bacci";"(Italian, 1913-1978)";1913;1978;1;0;1;"Male";1956;1953;NA;NA;NA;83,1;NA;142,9;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"755";"The Nun";"Otto Dix";"(German, 1891-1969)";1891;1969;1;0;1;"Male";1988;1914;NA;NA;NA;70,2;NA;52,4;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
